"","AN_RECENS","DEP_RES_21","AGE_GROUP","TYP_ACT","CSP","test"
"388",1968,"06","45-59",1,1,4216
"389",1968,"06","45-59",1,2,16576
"390",1968,"06","45-59",1,3,6092
"391",1968,"06","45-59",1,4,8560
"392",1968,"06","45-59",1,5,20996
"393",1968,"06","45-59",1,6,19452
"394",1968,"06","45-59",2,3,220
"395",1968,"06","45-59",2,4,412
"396",1968,"06","45-59",2,5,1428
"397",1968,"06","45-59",2,6,1884
"398",1968,"06","45-59",2,9,44
"399",1968,"06","45-59",3,9,20
"400",1968,"06","45-59",5,8,10620
"401",1968,"06","45-59",6,9,40696
"402",1968,"06","60-74",1,1,2968
"403",1968,"06","60-74",1,2,8300
"404",1968,"06","60-74",1,3,2260
"405",1968,"06","60-74",1,4,2524
"406",1968,"06","60-74",1,5,7448
"407",1968,"06","60-74",1,6,6204
"408",1968,"06","60-74",2,3,84
"409",1968,"06","60-74",2,4,152
"410",1968,"06","60-74",2,5,468
"411",1968,"06","60-74",2,6,656
"412",1968,"06","60-74",2,9,12
"413",1968,"06","60-74",5,8,60348
"414",1968,"06","60-74",6,9,40856
"415",1968,"06","75 and more",1,1,240
"416",1968,"06","75 and more",1,2,656
"417",1968,"06","75 and more",1,3,140
"418",1968,"06","75 and more",1,4,216
"419",1968,"06","75 and more",1,5,268
"420",1968,"06","75 and more",1,6,152
"421",1968,"06","75 and more",2,5,12
"422",1968,"06","75 and more",2,6,16
"423",1968,"06","75 and more",5,8,25812
"424",1968,"06","75 and more",6,9,16688
"425",1968,"06","<15",1,1,12
"426",1968,"06","<15",1,2,16
"427",1968,"06","<15",1,5,56
"428",1968,"06","<15",1,6,228
"429",1968,"06","<15",2,5,12
"430",1968,"06","<15",2,6,12
"431",1968,"06","<15",2,9,4
"432",1968,"06","<15",3,9,6932
"433",1968,"06","<15",6,9,125772
"434",1968,"06",NA,1,1,52
"435",1968,"06",NA,1,2,128
"436",1968,"06",NA,1,3,28
"437",1968,"06",NA,1,4,32
"438",1968,"06",NA,1,5,84
"439",1968,"06",NA,1,6,40
"440",1968,"06",NA,2,5,4
"441",1968,"06",NA,5,8,3468
"442",1968,"06",NA,6,9,2160
"443",1968,"07","15-29",1,1,3116
"444",1968,"07","15-29",1,2,1404
"445",1968,"07","15-29",1,3,428
"446",1968,"07","15-29",1,4,3236
"447",1968,"07","15-29",1,5,5864
"448",1968,"07","15-29",1,6,15516
"449",1968,"07","15-29",2,3,8
"450",1968,"07","15-29",2,4,56
"451",1968,"07","15-29",2,5,144
"452",1968,"07","15-29",2,6,360
"453",1968,"07","15-29",2,9,56
"454",1968,"07","15-29",3,9,10740
"455",1968,"07","15-29",4,9,1312
"456",1968,"07","15-29",6,9,9272
"457",1968,"07","30-44",1,1,6176
"458",1968,"07","30-44",1,2,3964
"459",1968,"07","30-44",1,3,1148
"460",1968,"07","30-44",1,4,3704
"461",1968,"07","30-44",1,5,4252
"462",1968,"07","30-44",1,6,12568
"463",1968,"07","30-44",2,3,4
"464",1968,"07","30-44",2,4,32
"465",1968,"07","30-44",2,5,64
"466",1968,"07","30-44",2,6,228
"467",1968,"07","30-44",2,9,4
"468",1968,"07","30-44",3,9,32
"469",1968,"07","30-44",6,9,15960
"470",1968,"07","45-59",1,1,7480
"471",1968,"07","45-59",1,2,3640
"472",1968,"07","45-59",1,3,692
"473",1968,"07","45-59",1,4,2520
"474",1968,"07","45-59",1,5,3328
"475",1968,"07","45-59",1,6,8156
"476",1968,"07","45-59",2,3,8
"477",1968,"07","45-59",2,4,16
"478",1968,"07","45-59",2,5,60
"479",1968,"07","45-59",2,6,248
"480",1968,"07","45-59",3,9,4
"481",1968,"07","45-59",5,8,2300
"482",1968,"07","45-59",6,9,13640
"483",1968,"07","60-74",1,1,4756
"484",1968,"07","60-74",1,2,1700
"485",1968,"07","60-74",1,3,164
"486",1968,"07","60-74",1,4,704
"487",1968,"07","60-74",1,5,688
"488",1968,"07","60-74",1,6,1696
"489",1968,"07","60-74",2,4,4
"490",1968,"07","60-74",2,5,4
"491",1968,"07","60-74",2,6,80
"492",1968,"07","60-74",5,8,17180
"493",1968,"07","60-74",6,9,12484
"494",1968,"07","75 and more",1,1,540
"495",1968,"07","75 and more",1,2,188
"496",1968,"07","75 and more",1,3,12
"497",1968,"07","75 and more",1,4,160
"498",1968,"07","75 and more",1,5,12
"499",1968,"07","75 and more",1,6,28
"500",1968,"07","75 and more",2,5,4
"501",1968,"07","75 and more",5,8,7744
