DEP_RES_21,Tranche d'age,AN_RECENS,CSP,TYP_ACT,POND
13,15-29,1968,4,1,19736
13,30-44,1968,6,1,69480
13,30-44,1968,1,1,5124
13,45-59,1968,5,1,36988
13,45-59,1968,6,1,45424
13,45-59,1968,4,1,19900
13,45-59,1968,2,1,21148
13,45-59,1968,3,1,11928
13,60-74,1968,1,1,3932
13,60-74,1968,6,1,9956
13,60-74,1968,5,1,8988
13,60-74,1968,4,1,4092
13,75 more,1968,3,1,180
13,30-44,1968,9,3,428
13,30-44,1968,4,2,732
13,60-74,1968,6,2,1216
13,45-59,1968,3,2,208
13,30-44,1968,2,1,19288
13,45-59,1968,1,1,5812
13,60-74,1968,3,1,2780
13,75 more,1968,5,1,364
13,60-74,1968,2,1,9104
13,15-29,1968,4,2,888
13,45-59,1968,5,2,1644
13,less than 15,1968,6,1,392
13,75 more,1968,2,1,752
13,60-74,1968,4,2,172
13,15-29,1968,1,1,2376
13,75 more,1968,4,1,320
13,75 more,1968,6,1,260
13,75 more,1968,1,1,380
13,less than 15,1968,5,1,152
13,45-59,1968,9,2,80
13,75 more,1968,5,2,8
13,15-29,1968,3,2,156
13,30-44,1968,9,2,204
13,less than 15,1968,6,2,12
13,less than 15,1968,9,2,24
13,30-44,1968,3,2,152
13,30-44,1968,9,4,8
13,45-59,1968,9,3,36
13,60-74,1968,3,2,44
13,75 more,1968,6,2,16
13,less than 15,1968,2,1,44
13,less than 15,1968,3,1,8
13,less than 15,1968,4,1,4
13,less than 15,1968,1,1,4
13,75 more,1968,4,2,8
13,60-74,1968,9,2,16
13,75 more,1968,9,2,4
13,less than 15,1968,5,2,4
14,less than 15,1968,9,6,140252
14,45-59,1968,9,6,18496
14,15-29,1968,9,3,25552
14,15-29,1968,9,6,15996
14,30-44,1968,9,6,28232
14,15-29,1968,9,4,3084
14,45-59,1968,4,1,5624
14,15-29,1968,6,1,33296
14,15-29,1968,4,1,8444
14,15-29,1968,5,1,19392
14,30-44,1968,6,1,26420
14,30-44,1968,3,1,3348
14,45-59,1968,2,1,7168
14,45-59,1968,5,1,8796
14,45-59,1968,6,1,16064
14,45-59,1968,3,1,2252
14,60-74,1968,6,1,3912
14,60-74,1968,3,1,624
14,60-74,1968,2,1,3544
14,15-29,1968,3,1,1644
14,30-44,1968,5,1,11296
